         159182 function calls (157335 primitive calls) in 0.669 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.241    0.020    0.241    0.020 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.106    0.106    0.106    0.106 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.096    0.096    0.096    0.096 {method 'connect' of '_socket.socket' objects}
        1    0.066    0.066    0.066    0.066 {built-in method _socket.getaddrinfo}
        1    0.037    0.037    0.037    0.037 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
      128    0.005    0.000    0.005    0.000 {built-in method marshal.loads}
      801    0.005    0.000    0.034    0.000 /usr/lib/python3.10/html/parser.py:300(parse_starttag)
        2    0.005    0.002    0.058    0.029 /usr/lib/python3.10/html/parser.py:133(goahead)
     1426    0.005    0.000    0.005    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/__init__.py:732(string_container)
    217/3    0.004    0.000    0.050    0.017 {built-in method builtins.exec}
     1668    0.004    0.000    0.017    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/__init__.py:826(endData)
     5668    0.003    0.000    0.003    0.000 {method 'match' of 're.Pattern' objects}
     3654    0.003    0.000    0.003    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/element.py:376(setup)
  341/339    0.003    0.000    0.009    0.000 {built-in method builtins.__build_class__}
      802    0.003    0.000    0.007    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/element.py:1626(__init__)
      801    0.003    0.000    0.021    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/__init__.py:987(handle_starttag)
     1581    0.002    0.000    0.003    0.000 {built-in method __new__ of type object at 0x588ee7cea9a0}
      801    0.002    0.000    0.024    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/builder/_htmlparser.py:142(handle_starttag)
      522    0.002    0.000    0.002    0.000 {built-in method posix.stat}
     1426    0.002    0.000    0.005    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/__init__.py:867(object_was_parsed)
     3217    0.002    0.000    0.003    0.000 /usr/lib/python3.10/_markupbase.py:44(updatepos)
      742    0.002    0.000    0.013    0.000 /usr/lib/python3.10/html/parser.py:385(parse_endtag)
      784    0.002    0.000    0.003    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/__init__.py:950(_popToTag)
