         97985 function calls (97891 primitive calls) in 5.845 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    5.005    5.005    5.005    5.005 {built-in method time.sleep}
       13    0.558    0.043    0.558    0.043 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.108    0.108    0.108    0.108 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.096    0.096    0.096    0.096 {method 'connect' of '_socket.socket' objects}
      801    0.006    0.000    0.032    0.000 /usr/lib/python3.10/html/parser.py:300(parse_starttag)
        2    0.005    0.002    0.056    0.028 /usr/lib/python3.10/html/parser.py:133(goahead)
     1668    0.003    0.000    0.015    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/__init__.py:826(endData)
     5543    0.003    0.000    0.003    0.000 {method 'match' of 're.Pattern' objects}
      802    0.002    0.000    0.006    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/element.py:1626(__init__)
       18    0.002    0.000    0.005    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/element.py:1079(_find_all)
     3654    0.002    0.000    0.002    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/element.py:376(setup)
      801    0.002    0.000    0.018    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/__init__.py:987(handle_starttag)
     3217    0.002    0.000    0.003    0.000 /usr/lib/python3.10/_markupbase.py:44(updatepos)
     1426    0.002    0.000    0.004    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/__init__.py:867(object_was_parsed)
      801    0.002    0.000    0.021    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/builder/_htmlparser.py:142(handle_starttag)
      742    0.002    0.000    0.011    0.000 /usr/lib/python3.10/html/parser.py:385(parse_endtag)
      802    0.002    0.000    0.002    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/__init__.py:809(pushTag)
     1466    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x56a1d1d849a0}
      801    0.002    0.000    0.002    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/builder/__init__.py:382(_replace_cdata_list_attribute_values)
     1426    0.002    0.000    0.003    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/__init__.py:732(string_container)
     2742    0.001    0.000    0.001    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/element.py:2771(descendants)
7167/7159    0.001    0.000    0.002    0.000 {built-in method builtins.isinstance}
     1426    0.001    0.000    0.004    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/element.py:1291(__new__)
     2292    0.001    0.000    0.002    0.000 /usr/lib/python3.10/typing.py:306(inner)
