         98025 function calls (97931 primitive calls) in 0.596 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       13    0.239    0.018    0.239    0.018 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.113    0.113    0.113    0.113 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.100    0.100    0.100    0.100 {method 'connect' of '_socket.socket' objects}
        1    0.067    0.067    0.067    0.067 {built-in method _socket.getaddrinfo}
      802    0.006    0.000    0.010    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/element.py:1626(__init__)
        2    0.005    0.003    0.063    0.031 /usr/lib/python3.10/html/parser.py:133(goahead)
      801    0.005    0.000    0.037    0.000 /usr/lib/python3.10/html/parser.py:300(parse_starttag)
     1668    0.004    0.000    0.015    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/__init__.py:826(endData)
     5544    0.003    0.000    0.003    0.000 {method 'match' of 're.Pattern' objects}
     1426    0.003    0.000    0.006    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/__init__.py:867(object_was_parsed)
     3654    0.003    0.000    0.003    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/element.py:376(setup)
      801    0.002    0.000    0.023    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/__init__.py:987(handle_starttag)
     3217    0.002    0.000    0.003    0.000 /usr/lib/python3.10/_markupbase.py:44(updatepos)
      801    0.002    0.000    0.003    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/builder/__init__.py:382(_replace_cdata_list_attribute_values)
      801    0.002    0.000    0.026    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/builder/_htmlparser.py:142(handle_starttag)
     1426    0.002    0.000    0.003    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/__init__.py:732(string_container)
      742    0.002    0.000    0.012    0.000 /usr/lib/python3.10/html/parser.py:385(parse_endtag)
      802    0.002    0.000    0.002    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/__init__.py:809(pushTag)
        2    0.001    0.001    0.001    0.001 {method 'decompress' of 'zlib.Decompress' objects}
      784    0.001    0.000    0.003    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/__init__.py:950(_popToTag)
